Product Title,Product Link,Product Price,Rating,Number of Reviews,Frequently Bought Together
"HP 17.3"" FHD IPS Anti-Glare Laptop, Intel Core i3-1215U, 16GB RAM, 1TB PCIe SSD, Intel UHD Graphics, HD Webcam, Numpad, HP Fast Charge, Silver, Win 11 Pro, 32GB Hotface USB Card",https://www.amazon.ca/HP-17-3-Anti-Glare-i3-1215U-Graphics/dp/B0D12GK8P3/ref=sr_1_93?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-93,769.00,4.2,424,Not available
"MSI Thin A15 B7UC-057CA 15.6"" 144Hz Gaming Laptop AMD Ryzen R7 7735HS RTX 3050 16GB 1TB NVMe SSD Win11",https://www.amazon.ca/MSI-Thin-A15-B7UC-057CA-Gaming/dp/B0CRKQS256/ref=sr_1_92?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-92,"1,299.00",3.0,3,Not available
Dell Latitude E7250 Microsoft Renewed Laptop,https://www.amazon.ca/Dell-Latitude-i5-5300U-Certified-Refurbished/dp/B07FDHGH2R/ref=sr_1_90?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-90,188.66,4.1,404,Not available
"Lenovo IdeaPad Slim 5 Multimedia Laptop, 16"" WUXGA Touchscreen, AMD Ryzen 7 7730U 8 Cores, 16GB LPDDR4+ 512GB SSD, Win10 Home, HDMI 1.4, Wi-Fi 6, Fullsize Backlit Keyboard, Fingerprint Reader",https://www.amazon.ca/Lenovo-IdeaPad-Slim-Touchscreen-Fingerprint/dp/B0D4917VWZ/ref=sr_1_95?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-95,669.99,FREE delivery Oct 25 - 28 ,Only 1 left in stock.,Not available
No title available,https://www.amazon.ca/s?k=hp+laptop&ref=rsl_sug_0_0&pd_rd_w=h8iUZ&content-id=amzn1.sym.44e6e7c3-130a-4bef-a9b7-4368915a8293:amzn1.sym.44e6e7c3-130a-4bef-a9b7-4368915a8293&pf_rd_p=44e6e7c3-130a-4bef-a9b7-4368915a8293&pf_rd_r=3Q8EFX9D5NAM95VB0914&pd_rd_wg=qe7Bf&pd_rd_r=8cbb1743-1187-41c7-b950-7d61a6a6d190&qid=1729745479,Price not available,Rating not available,hp laptop,Not available
"Lenovo Ideapad i3 15.6"" FHD IPS Touchscreen Laptop, Intel i3-1115G4, 16GB RAM, 512GB PCIe SSD, Intel UHD Graphics, Numeric Keypad, HD Webcam, Wi-Fi 6, Windows 11, Gray, 32GB USB Card",https://www.amazon.ca/Ideapad-Touchscreen-i3-1115G4-Graphics-Numeric/dp/B0CN8B697S/ref=sr_1_91?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-91,639.00,4.3,"3,983",Not available
"ASUS Vivobook 15, Intel® Core™ i5-1235U Processor, ‎Intel UHD Graphics 620, 8GB DDR4, 512GB SSD, Wi-Fi 5, Windows 11, Quiet Blue, X1504ZA-BS55-CB",https://www.amazon.ca/Vivobook-i5-1235U-Processor-Graphics-X1504ZA-BS55-CB/dp/B0D5SXCKCD/ref=sr_1_89?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-89,549.00,3.8,6,Not available
Lenovo B210,https://www.amazon.ca/Lenovo-Backpack-15-6-Inch-Water-Repellent-GX40Q17226/dp/B075Y7H8V6/ref=sr_1_88?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-88,10.99,4.4,"11,148",Not available
"ASUS BR1100 Laptop, BR1100FKA-CES1S-CA, 11.6"" HD Touch Screen Glossy Display, Intel Celeron N4500 Processor, 4GB RAM, 128GB Storage, MIL-STD 810H Durability, TPM 2.0, Windows 10 Pro, Star Grey",https://www.amazon.ca/BR1100FKA-CES1S-CA-Display-Celeron-Processor-Durability/dp/B09HN3TWSG/ref=sr_1_87?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-87,299.00,4.1,214,Not available
"HP Essential 255 G8 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U, 16GB RAM, 1TB PCIe SSD, Webcam, SD Card Reader, HDMI, Wi-Fi 6, Windows 11 Pro, Dark Ash Silver…",https://www.amazon.ca/HP-Essential-Laptop-Display-Windows/dp/B0CNJCY4MG/ref=sr_1_86?crid=1E63C3THFEGDP&dib=eyJ2IjoiMSJ9.akMDTOG5KBho4VWXJdqFI8EQq3zg3Tep4GghGuvoFQ_7cp8iETpMHFO4NgIhB7cnSrYyeL6kWqeyqJujKxZbY4WJ6OVWgaXZyQU9NMzTm12fRp0_aHi6oQPZpwiQK25c5hDtghNfY2TOPS5BUsVKzr-ao1Z4P9ayOzwNqtcGuCF1_Wr-4MGbjQfoKsthDqzJuhRB17snfwjjLfhNPI5qM4vhqmpTkz-oqSjWSUeKrSkfgOTYFC8cZ_1Vg-GClmy7ct76t8Or8SSxPTK0h_Lrzjb0-EHZnyWqZAIzlDe1_qs.iJtLNvn-8ETDI23NzMYzW-Nv16wHnFuQyS1MCrblk9k&dib_tag=se&keywords=laptop&qid=1729745479&sprefix=laptop%2Caps%2C128&sr=8-86,725.00,4.9,10,Not available
