Name,Price,Rating,Number of Reviews,Product Link
"ASUS Vivobook 16 16"" Laptop - Indie Black (Intel Core i5-1335U/8GB RAM/512GB SSD/Windows 11) - English",$549.99,4.0,1,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fasus-vivobook-16-16-laptop-indie-black-intel-core-i5-1335u-8gb-ram-512gb-ssd-windows-11-english%2F17937122%3Fsource%3Dsearch%26adSlot%3D1%26slotPos%3D1&sig=1-yN5L-V-eKIPZ9x4epBEOWmzbSsTQivoSaR8xuhXdnqE&rm_e=cBybwGjdGTZqeEzdLJ1de-KU-0bRhFutHMi6L3NYEnGSmNFrYUHbqBCmI75qbbMokgKziKw3Cp9ULCf0TV1G6Pum9Wl6tURA7eSBKHmTaTQx7G8P38ojwqFa-WcKb9UzM5qoI8v1E1j0r-bhLn5KRmL_rbqsGv04KBBPE8CUlIx4k3JzqMUt1LWbd7gQ79DY_HhWYOow-H9GtmBVMA_cwyJ-qNzVP7WMLerDxALrQyodzkXnu0d9-6pPyUobS8qHcPf2RjpBFc0Qy29RqR8pqR2GaSvtSCsBmoMGySssksohIRiXwhwfQF8nwXlrK4L5BCBkCS6fUlUqKv16oGdOUd4oXo8wMnVA-VaoskaM3zmVLfh8xouJ4kQLRm0Vra8hPq9RAljj0F6GZ2lUFxwM8yNVObsO0prAVAWhmg1B24k&ev=4
"ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/256GB SSD/Windows 11)",$549.99,5.0,4,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fasus-vivobook-go-15-15-6-laptop-mixed-black-intel-core-i3-n305-8gb-ram-256gb-ssd-windows-11%2F17631510%3Fsource%3Dsearch%26adSlot%3D2%26slotPos%3D2&sig=1-j4OQxLuDfyEk9Jv-EsPvas84z8iAR9IEYPNXhdsWugI&rm_e=fL8sYLkVleHYl9r6SJS8j_jZ4M_1E-vNyzMRcd1Q46R4tlDCPyenyrYYt8GvpcAQSdBfYIGJroSw-gmALOF98N4oIfdNK1toWO_NFkHNNyzUowy0l87jSOX3Fi0xgNZ1JGs209Tlein_LgibUClrMVOmle7loAKD5825YVkp9S4udNNMWkaD9clzGkyGwh2z2JXVCYFsSidLL3SGWEV4moDow7p62iF2yVe8wcNlQAC9EDlenObNbjWbw4E_IAUiQVZk7yqdYmpii6zZqI55F16ES-cV0wDWBe5tXl0sA__HYm4LNW6eU57__Mnb1WemaySLKeJdnCye7mLXNkBC9b5Xh5Z8M5COnc66CyLD8QCorvADrZyMDONUtN4_UzZGgnZV8AqbTFp443Cuotzq9OX3D2-_vEbkUxWc-Eqr0fA&ev=4
"Refurbished (Excellent) - Lenovo Thinkpad X1 Carbon 6th gen 14"" Business Laptop - Silver (Intel Core i5-8250U/256GB NVMe/8GB RAM/Windows 11 Pro)",$299.99,0.0,0,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Frefurbished-excellent-lenovo-thinkpad-x1-carbon-6th-gen-14-business-laptop-silver-intel-core-i5-8250u-256gb-nvme-8gb-ram-windows-11-pro%2F18389988%3Fsource%3Dsearch%26adSlot%3D3%26slotPos%3D3&sig=1-gySKYrPNCdG7FyFb9AQmps70DdVNrUkGxcHmgwRN87M&rm_e=Hb42FV11MdCM7CV1sqDtIPhVmKo9qw1pBCRx0x4IvNHflBWN4LNJvU_n0brEVf14yATK0QWxt7DDJb6sYXqkZ6nZWqiF9wLbITlY2zgcPZiUnhc1lpSB4SilAoMzp4ANKvMQkagDi40yhafT_V00r5R1BK1pa7-bRBAZ5-Qzh6reUmxteWU1wGbfG9QQqufNbifRsqLBHIsOdUkB3Gj18TobwjXSW8hU0rwLgNdG_sHTyCF0tdJl3fd3Bhrm1_GdpwvkFFYGowptAMGI3O_gpWmxZ9YHtOwJ-MOSTzLUATLJ5KDNLr8IcHy9KByQEvYlnEIJIV10i6qIrY6QxDVrOqUKgKcdy28nO39ZseYGo8lES-LgEOrxlfe4yYHPBsoMYZEqs2u7ruAI8F-S3YiCsg&ev=4
"Lenovo IdeaPad Slim 3 14"" Touchscreen Chromebook - Cloud Grey (MediaTek Kompanio 520/128GB eMMC/8GB RAM)",$449.99,4.59,27,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Flenovo-ideapad-slim-3-14-touchscreen-chromebook-cloud-grey-mediatek-kompanio-520-128gb-emmc-8gb-ram%2F17732142%3Fsource%3Dsearch%26adSlot%3D4%26slotPos%3D4&sig=1-34NuXrJNxuRzLSRd_EXOG4tXRdU1BnxEDmuBh7-vboo&rm_e=Nb8RpjuQhkBdvw8s_SUst2GeYy7iu3XQbaOq7nPMhWQr6KaGbSjWUoWQuC6fe1GB7W6DRLaKbFMVEFyRB52Ok97BaO4EIBbQdXzJhEDpE-rM0EgqiSrlnCme2jrS4mzLRFZFG4acuUWzFInPfE2597uDemcgHTxe2G7YbiaAqSs7b0-1NCHBcdIlWQJOxw16PhCeIdYzh6qBZ6QPK6aqd0Xac0oiZK16-T8J9tp6U59WekrQ4cFk8qCsVnhqFdAZGAxgZn5vcYIitFViUm_eOZ4Iu6sDcU-5O7qHcofFKt3RAyTNJQ1Njp2lMfaU1XzoH-tHgKjOpXX-R21oDavfkowuTq0uK5f5c6SLxwjAMlcA83-PZ0pPln183YmgkeRVfAM9ZAoCwzQWaI7i3WJnIDMf3b6GxfTDtTIH-gQOlGk&ev=4
"HP Stream 14"" HD 1366 x 768 Laptop - Intel N4120, 64GB, 4GB, Window 11, Office 365 - Rose Gold",$249.99,4.05,786,https://www.bestbuy.ca/en-ca/product/hp-stream-14-hd-1366-x-768-laptop-intel-n4120-64gb-4gb-window-11-office-365-rose-gold/16204778
N/A,N/A,,0,https://www.bestbuy.ca/en-ca/brand/microsoft/copilot-plus-pc?icmp=computing_20240520_plb_copilotpluspc_learnmore
"HP 15"" Laptop w/ 1 year of Microsoft 365 - Natural Silver (Intel N100/128GB SSD/4GB RAM)",$269.99,3.89,18,https://www.bestbuy.ca/en-ca/product/hp-15-laptop-w-1-year-of-microsoft-365-natural-silver-intel-n100-128gb-ssd-4gb-ram/16982680
"Lenovo IdeaPad Slim 3i 15.6"" Laptop - Arctic Grey (Intel Core i5-1335U/16GB RAM/512GB SSD/Windows 11)",$699.99,4.64,85,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i5-1335u-16gb-ram-512gb-ssd-windows-11/16948051
"Acer Aspire 3 15.6"" Laptop - Silver (Intel Core i3-1215U/512GB SSD/8GB RAM/Windows 11)",$449.99,5.0,1,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-intel-core-i3-1215u-512gb-ssd-8gb-ram-windows-11/17698604
"HP 14"" Laptop - Jet Black (Intel Processor N100/256GB SSD/8GB RAM/Windows 11 Home)",$399.99,4.25,24,https://www.bestbuy.ca/en-ca/product/hp-14-laptop-jet-black-intel-processor-n100-256gb-ssd-8gb-ram-windows-11-home/17478231
