Title,Link,Price,Product Rating,Reviewer Count
Lenovo IdeaPad 1 15.6 inch Windows Laptop AMD Ryzen 3-7320U 8GB RAM 256GB SSD Abyss Blue,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=1085632_1071204_5186082_4126170_5681475&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FLenovo-Ideapad-1-15-6-inch-Laptop-AMD-Ryzen-3-7320U-8GB-RAM-256GB-SSD-Abyss-Blue%2F2670414563%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e0822f57-ee6c-49ee-b93c-0de9f58d731e&mloc=sp-search-middle&pltfm=desktop&pgId=laptop&pt=search&spQs=pD0Q8xecO6S3GPWuPZ6sNUq2zJuBKCWM1SBEzTrlK_RKjKj0AIoiqxlPxtRsWRYHGUFRDW-ojZvo7sbMhWRcKjVDStZET9bPl64yNq9Sv3OdQngZ75i53l9CQG6GRsCkrSQS2a1T1cWQw08phHoc9_bvrAQ4XTSC3q9SkfqTAu3NpgzJP0TKMikaj9lKBZpaFjQU0TYKd55UkghIfbZvasQ0UJl7hiNx8z0jcfxHQeRWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_11103%7Ccoldstart_on%7Csearch_%22search_ranking_xe_v2_sigmoid_llm%22%7Csearch_best_seller_badge_var_1_exp_rweb&classType=REGULAR,$299.00,4.4,686
HP 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Spruce Blue,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=1085632_1071204_5186082_4126170_5681475&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FHP-15-6-inch-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Spruce-Blue%2F5464020316%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e0822f57-ee6c-49ee-b93c-0de9f58d731e&mloc=sp-search-middle&pltfm=desktop&pgId=laptop&pt=search&spQs=juuGoz__1uRadiuk3Efc-FB3NqRYh5gUj1xe9_ALbmXLCZzsu2B97rBOCAmVHJBZS7kT0C2d6lyH3z06JXtSpT3W-7rJ5MYFe1eEdYcCbaOruueTIcqlyX-LMDOe4WcX-fwnVZgKwg7L_vCAPn8f5m69QWfRqdroEafWpyM3_7Hk6b0wQjVC-Cy8ZjXkLPcqmDmyoq5GbWz0ZR2zZUzRx3oShKWSb8t4T5lC6qX4WPVvp84jbaPmlEGVtyip40N4_0JbSx9QlmeoDSbNODFzgg&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_11103%7Ccoldstart_on%7Csearch_%22search_ranking_xe_v2_sigmoid_llm%22%7Csearch_best_seller_badge_var_1_exp_rweb&classType=REGULAR,$349.00,4.4,449
Lenovo IdeaPad Slim 3 15.6 inch Windows Laptop AMD Ryzen 5-7520U 8GB RAM 256GB SSD Arctic Grey,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=1085632_1071204_5186082_4126170_5681475&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FLenovo-Ideapad-Slim-3-15-6-inch-FHD-IPS-Laptop-AMD-Ryzen-5-7520U-8GB-RAM-256GB-SSD-Arctic-Grey%2F5096127174%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e0822f57-ee6c-49ee-b93c-0de9f58d731e&mloc=sp-search-middle&pltfm=desktop&pgId=laptop&pt=search&spQs=kdVDkgs7EsUsq88RasVQ6jppB-qNKU_9aVX1bO_5EglI-2iFJBOAlARJi1MrOEWNGUFRDW-ojZvo7sbMhWRcKjVDStZET9bPl64yNq9Sv3OdQngZ75i53l9CQG6GRsCkf_CqojPnueSdU5LPckBd2eEQZyWaBsByrAIPLh_p-GV-idnpxwyU7Sd-JAfL3v8ClHBR1JT2o9gQJ_EOB_CnmNRs1ByqqgaCVO4yH3a8vJdk5UpU3uJmpKI9bNjaLm2E6p5SS7N6aIaMCQkRU--lZQ&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_11103%7Ccoldstart_on%7Csearch_%22search_ranking_xe_v2_sigmoid_llm%22%7Csearch_best_seller_badge_var_1_exp_rweb&classType=REGULAR,$349.00,4.6,141
Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=1085632_1071204_5186082_4126170_5681475&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FAcer-Chromebook-315-15-6-inch-Laptop-Intel-Processor-N4500-4GB-RAM-64GB-eMMC-Moonstone-Purple%2F5113175776%3FclassType%3DVARIANT%26athbdg%3DL1102%26adsRedirect%3Dtrue&adUid=e0822f57-ee6c-49ee-b93c-0de9f58d731e&mloc=sp-search-middle&pltfm=desktop&pgId=laptop&pt=search&spQs=OuY3myGq1EqwbHp1wzgTRHHrwinFJhgZ_IgdTJHxGp-DJd_Z0Xb3qZCWM187MevE6LEv8NOhiT5Cp7qYhZpji23dhmThQqUo9sFcj6fEQ-2A3LyOvLfYFthiynlaE-C1TKIqH-orBx5KfiHUzZmnNnpsg1HwpU5cOZGraeQWpdnNpgzJP0TKMikaj9lKBZpaFjQU0TYKd55UkghIfbZvasQ0UJl7hiNx8z0jcfxHQeRWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_11103%7Ccoldstart_on%7Csearch_%22search_ranking_xe_v2_sigmoid_llm%22%7Csearch_best_seller_badge_var_1_exp_rweb&classType=VARIANT&athbdg=L1102,$179.00,4.4,2727
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",https://www.walmart.com/ip/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-8GB-RAM-256GB-storage/609040889?classType=VARIANT&from=/search,$649.00,4.7,3365
HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,https://www.walmart.com/ip/HP-15-6-inch-Laptop-Intel-Core-i3-N305-8GB-RAM-256GB-SSD-Natural-Silver/5098188131?classType=VARIANT&from=/search,$329.00,4.4,85
HP 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Spruce Blue,https://www.walmart.com/ip/HP-15-6-inch-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Spruce-Blue/5464020316?classType=REGULAR&from=/search,$349.00,4.4,449
Lenovo IdeaPad Slim 3 15.6 inch Windows Laptop AMD Ryzen 5-7520U 8GB RAM 256GB SSD Arctic Grey,https://www.walmart.com/ip/Lenovo-Ideapad-Slim-3-15-6-inch-FHD-IPS-Laptop-AMD-Ryzen-5-7520U-8GB-RAM-256GB-SSD-Arctic-Grey/5096127174?classType=REGULAR&from=/search,$349.00,4.6,141
ASUS Vivobook Go 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB UFS Black,https://www.walmart.com/ip/ASUS-Vivobook-Go-15-6-PC-Laptop-Intel-i3-N305-8GB-256GB-Win-11-Home-S-mode-Mixed-Black-E1504GA-WS36/5727766555?classType=REGULAR&athbdg=L2000&from=/search,$296.00,No rating,No reviews
Lenovo IdeaPad 1 15.6 inch Windows Laptop AMD Ryzen 3-7320U 8GB RAM 256GB SSD Abyss Blue,https://www.walmart.com/ip/Lenovo-Ideapad-1-15-6-inch-Laptop-AMD-Ryzen-3-7320U-8GB-RAM-256GB-SSD-Abyss-Blue/2670414563?classType=REGULAR&from=/search,$299.00,4.4,686
